006a,book1\h26_1_w.mp3
006b,book1\h26_2_w.mp3
006c,book1\h26_3_w.mp3
006d,book1\h26_4_w.mp3
006e,book1\h26_5_w.mp3
006f,book1\h26_6_w.mp3
30db,book1\h26_7_w.mp3
30dc,book1\h26_8_w.mp3
30dd,book1\h26_9_w.mp3
30de,book1\h26_10_w.mp3
30df,book1\h26_11_w.mp3
30e0,book1\h26_12_w.mp3
0064,book2\i7_l5u1_big.mp3
0065,book2\i7_l5u1_clean.mp3
0066,book2\i7_l5u1_dirty.mp3
0067,book2\i7_l5u1_fast.mp3
0068,book2\i7_l5u1_its.mp3
0069,book2\i7_l5u1_long.mp3
30c7,book2\i7_l5u1_short.mp3
30c8,book2\i7_l5u1_slow.mp3
30c9,book2\i7_l5u1_small.mp3
30ca,book2\i7_l5u2_bear.mp3
30cb,book2\i7_l5u2_deer.mp3
30cc,book2\i7_l5u2_elephant.mp3
